,winner,loser,score,season,date
276,Mirzoev Suren,Pankratov Vladimir,8-4,Open League Preseason 2025,2025-04-05
277,Rogozin Anton,Muminov Bahtiyar,6-3 6-4,Masters League Preseason 2025,2025-04-05
278,Pankratov Vladimir,Choi Alexey,8-2,Open League Preseason 2025,2025-04-06
279,Rogozin Anton,Vohidov Nodir,6-2 6-2,Masters League Season 1/2025,2025-04-06
280,Rogozin Anton,Kamilov Baxriddin,6-2 6-3,Masters League Season 1/2025,2025-04-08
281,Abdullaev Sharof,Maksudov Temur,6-2 6-3,Masters League Season 1/2025,2025-04-09
282,Sultanov Jamoliddin,Pankratov Vladimir,6-1 6-1,Masters League Season 1/2025,2025-04-09
283,Rogozin Anton,Larionov Svyatoslav,7-5 2-6 6-0,Masters League Season 1/2025,2025-04-09
284,Rashidov Amirkhan,Sadibekov Bulat,6-0 6-3,Masters League Season 1/2025,2025-04-10
285,Rogozin Anton,Musadjanov Hatam,6-2 6-1,Masters League Season 1/2025,2025-04-10
286,Tadjiev Khamdam,Mirzoev Suren,2-6 6-1 [10/5],Masters League Season 1/2025,2025-04-10
287,Malikov Humoyun,Vohidov Nodir,7-5 6-7 (3/7) 6-3,Masters League Season 1/2025,2025-04-10
288,Azimov Bobur,Ochildiyev Husniddin,6-2 6-2,Masters League Season 1/2025,2025-04-10
289,Pankratov Vladimir,Fetisov Artem,7-5 2-6 6-3,Masters League Season 1/2025,2025-04-10
290,Abdullaev Sharof,Khikmatov Shukhrat,6-1 6-0,Masters League Season 1/2025,2025-04-11
291,Fetisov Artem,Sultanov Jamoliddin,1-6 6-2 6-4,Masters League Season 1/2025,2025-04-11
292,Abduvakhidov Alisher,Maxamedkasimov Rustam,7-5 7-5,Masters League Season 1/2025,2025-04-11
293,Maksudov Temur,Ochildiyev Husniddin,6-2 2-6 [10/7],Masters League Season 1/2025,2025-04-12
294,Abduraimov Vladimir,Bukharov Ulugbek,4-6 6-1 4-2,Masters League Season 1/2025,2025-04-12
295,Razzoqov Davron,Pankratov Vladimir,7-6 (7/2) 3-6 7-5,Masters League Season 1/2025,2025-04-13
296,Mirzoev Suren,Azimov Bobur,6-2 1-6 6-3,Masters League Season 1/2025,2025-04-14
297,Shamuratov Farrukh,Vohidov Nodir,6-1 6-4,Masters League Season 1/2025,2025-04-15
298,Ibragimov Murod,Maxamedkasimov Rustam,6-2 6-4,Masters League Season 1/2025,2025-04-15
299,Pankratov Vladimir,Sadibekov Bulat,7-5 6-2,Masters League Season 1/2025,2025-04-15
300,Razzakov Alisher,Kamilov Baxriddin,6-2 6-1,Masters League Season 1/2025,2025-04-15
301,Tadjiev Khamdam,Maksudov Temur,6-2 6-3,Masters League Season 1/2025,2025-04-15
302,Abdullaev Sharof,Khidoyatov Takhir,6-2 6-2,Masters League Season 1/2025,2025-04-15
303,Razzoqov Davron,Sultanov Jamoliddin,6-2 3-6 [10/6],Masters League Season 1/2025,2025-04-15
304,Larionov Svyatoslav,Shamuratov Farrukh,6-0 6-3,Masters League Season 1/2025,2025-04-16
305,Beknazarov Botirbek,Rashidov Amirkhan,6-3 1-6 [10/7],Masters League Season 1/2025,2025-04-16
306,Tadjiev Khamdam,Khikmatov Shukhrat,6-1 6-3,Masters League Season 1/2025,2025-04-16
307,Abdullaev Sharof,Ochildiyev Husniddin,6-1 6-1,Masters League Season 1/2025,2025-04-17
308,Azimov Bobur,Khidoyatov Takhir,6-7 (2/7) 6-4 [10/8],Masters League Season 1/2025,2025-04-17
309,Beknazarov Botirbek,Pankratov Vladimir,6-2 6-2,Masters League Season 1/2025,2025-04-17
310,Mirzoev Suren,Khikmatov Shukhrat,2-6 6-4 6-4,Masters League Season 1/2025,2025-04-17
311,Abdullaev Sharof,Azimov Bobur,6-1 6-0,Masters League Season 1/2025,2025-04-18
312,Shirinov Jahon,Shamuratov Farrukh,4-6 6-4 [10/8],Masters League Season 1/2025,2025-04-18
313,Sultanov Jamoliddin,Sadibekov Bulat,6-2 6-1,Masters League Season 1/2025,2025-04-18
314,Khidoyatov Takhir,Ochildiyev Husniddin,7-6 (7/5) 1-6 [10/4],Masters League Season 1/2025,2025-04-18
315,Alimatov Burxon,Razzoqov Davron,6-3 1-6 6-2,Masters League Season 1/2025,2025-04-18
316,Mirzoev Suren,Dosmatov Iskandar,6-2 7-6,Masters League Season 1/2025,2025-04-19
317,Tadjiev Khamdam,Ochildiyev Husniddin,6-1 6-0,Masters League Season 1/2025,2025-04-19
318,Ibragimov Murod,Akhtamov Farrukh,6-2 6-3,Masters League Season 1/2025,2025-04-19
